Название курса;Описание;;;;;
;Урок курса №1;;;;;
;;Содержание;;;;
;;Название контента/источника №1;Ссылка | ссылка на slideshare.net | текст;;;
;;Название контента/источника №1;Ссылка | ссылка на slideshare.net | текст;;;
;;Задания;;;;
;;Задание урока №1;Текст задания;баллы (1 по умолчанию);правильный ответ (если применимо);решение (если применимо)
;;Задание урока №2;Текст задания;баллы (1 по умолчанию);правильный ответ (если применимо);решение (если применимо)
;;Тесты;;;;
;;Заголовок теста №1;Описание теста;Время на выполнение в секундах;сколько заданий на ученика;
;;;Текст вопроса теста №1;Тип ответа (radio|text);Файл (относительный путь);
;;;Текст вопроса теста №2;radio;some_dir/your_file.pdf;
;;Заголовок теста №2;;;;
;;;Текст вопроса теста №1;text;other_file.doc;
;Урок курса №2;;;;;
;;;;;;
;;;;;;
Fixtures Examples;;;;;;
;;;;;;
Основы ruby;Курс посвящён основам программирования на ruby. Основные темы:<br><br><ul><li>Основы ruby.</li><li>Управляющие;;;;;
;Основы;;;;;
;;Содержание;;;;
;;Основы программирования на ruby;Ссылка на slideshare.net или дли-и-и-и-инный информационный текст урока... Рассказывается об основах программирования на ruby: переменные, типы переменных, операции и пр. В конце приводятся блок-схема решения линейного уравнения.;;;
;;Официальный сайт по ruby;http://ruby-lang.org;;;
;;Ruby за 20 минут;http://preview.ruby-lang.org/ru/documentation/quickstart/;;;
;;Викиучебник по ruby;http://ru.wikibooks.org/wiki/Ruby;;;
;;Задания;;;;
;;Калькулятор;Напишите программу, которая вычисляет 2 в степени 100, 3 в степени 50, 2+2*2, корень из 3. В ответе, помимо текста самой программы, укажите результат выполнения программы. ;;;Текст правильной программы: <br> puts 2^10,, 3^50,  2+2*2, 3.0**0.5. <br>
;;Смена переменных;Даны две переменные типа integer: a и b. Напишите программу, которая без создания дополнительной переменной меняет их значения местами, то есть переменная a становится равной b, а b — a. Если вы не можете придумать решение, укажите хотя бы ваши идеи.;3;;c=a <br> a=b <br> b=c <br> 
;;Факториал;Вычислить 5!;1;120;puts 5*4*3*2*1
;;Тесты;;;;
;;Тест по уроку основ ruby;Тест посвящён базовым основам программирования на ruby. Соответствует первому уроку курса по ruby.;120;5;
;;;Как в программировании (в т.ч. на ruby) называют целочисленный тип переменных?;выбор;integer | float | string | boolean;integer
;;;Как в программировании (в т.ч. на ruby) называют тип переменных для вещественных чисел?;выбор;integer | float | string | boolean;float
;;;Вася задал переменную, в которой будет хранить возраст человека. Какого типа будет переменная?;выбор;integer | float | string | boolean;integer
;;;Вася задал переменную, в которой будет хранить информацию о том, женат / замужем ли человек. Какого типа будет переменная?;выбор;integer | float | string | boolean;boolean
;;;Вася задал переменную, в которой будет хранить e-mail человека. Какого типа будет переменная?;выбор;integer | float | string | boolean;string
;;;Чему будет равна в ruby переменная num = 6+3/3+2*5**2;один ответ;;57
;;;Чему будет равна переменная a после выполнения программы: <br>a = 5<br>b = 3<br>c = a<br>a = b<br>b = c<br>;один ответ;;3
;;;Сколько будет 2+2*2;выбор;5 | 6 | 7 | 8;6
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;